cod_ibge,nome,pib_2021,pib_2022,pib_2023,pib_percapita_2021,pib_percapita_2022,pib_percapita_2023
1700251,Abreulândia,112135,109871,141930,74730,...,...
1700301,Aguiarnópolis,165480,224320,226238,17292,...,...
1700350,Aliança do Tocantins,616571,233447,423070,472909,...,...
1700400,Almas,273741,273732,336120,183498,...,...
1700707,Alvorada,474111,628959,886077,152194,...,...
1701002,Ananás,159769,173649,199526,42527,...,...
1701051,Angico,48276,49247,54433,10234,...,...
1701101,Aparecida do Rio Negro,255912,288442,283247,161633,...,...
1701309,Aragominas,98441,93577,113908,43334,...,...
1701903,Araguacema,240246,347917,411911,148350,...,...
1702000,Araguaçu,349050,388688,474483,200286,...,...
1702109,Araguaína,5239050,6165265,7357638,112274,...,...
1702158,Araguanã,101858,90228,107609,39949,...,...
1702208,Araguatins,529290,785529,641440,97870,...,...
1702307,Arapoema,324523,153138,158572,60824,...,...
1702406,Arraias,223310,205200,239090,82975,...,...
1702554,Augustinópolis,305118,346878,396227,27450,...,...
1702703,Aurora do Tocantins,58806,61533,69896,19176,...,...
1702901,Axixá do Tocantins,141092,167496,173373,21290,...,...
1703008,Babaçulândia,158741,149213,169441,57534,...,...
1703057,Bandeirantes do Tocantins,178654,219238,249696,52114,...,...
1703073,Barra do Ouro,113260,122563,100382,60887,...,...
1703107,Barrolândia,122016,124496,140103,32502,...,...
1703206,Bernardo Sayão,102684,117017,128560,42800,...,...
1703305,Bom Jesus do Tocantins,139410,157713,143623,83369,...,...
1703602,Brasilândia do Tocantins,75634,120748,75010,13936,...,...
1703701,Brejinho de Nazaré,272945,264927,267584,195158,...,...
1703800,Buriti do Tocantins,161641,147595,149973,44530,...,...
1703826,Cachoeirinha,58547,44838,62095,28901,...,...
1703842,Campos Lindos,1004931,1241420,665857,706472,...,...
1703867,Cariri do Tocantins,517715,925419,997800,102971,...,...
1703883,Carmolândia,69222,60121,73172,30368,...,...
1703891,Carrasco Bonito,50561,75057,56192,9490,...,...
1703909,Caseara,389493,447727,474488,284574,...,...
1704105,Centenário,64557,79764,109325,30023,...,...
1704600,Chapada de Areia,39824,44846,51576,19794,...,...
1705102,Chapada da Natividade,148973,165622,155377,83513,...,...
1705508,Colinas do Tocantins,862139,1119264,1161301,92361,...,...
1705557,Combinado,76524,82899,95001,11156,...,...
1705607,Conceição do Tocantins,67829,75126,88973,15023,...,...
1706001,Couto Magalhães,203473,234432,249462,87040,...,...
1706100,Cristalândia,177294,187366,214100,80891,...,...
1706258,Crixás do Tocantins,78645,82923,77387,47272,...,...
1706506,Darcinópolis,241932,247899,252543,126582,...,...
1707009,Dianópolis,644829,777790,781673,237538,...,...
1707108,Divinópolis do Tocantins,249235,481319,323159,134264,...,...
1707207,Dois Irmãos do Tocantins,216149,199599,289149,95410,...,...
1707306,Dueré,204765,248721,290818,130341,...,...
1707405,Esperantina,118724,109800,119197,18028,...,...
1707553,Fátima,89100,102788,127672,24583,...,...
1707652,Figueirópolis,256752,317328,350090,123292,...,...
1707702,Filadélfia,129323,131906,161707,41004,...,...
1708205,Formoso do Araguaia,1414038,857600,988169,1071674,...,...
1708254,Tabocão,232898,221096,173517,54094,...,...
1708304,Goianorte,193502,211188,178252,90653,...,...
1709005,Goiatins,230924,257057,309167,95969,...,...
1709302,Guaraí,880403,1021437,1130106,146991,...,...
1709500,Gurupi,2648420,3307379,3695017,135884,...,...
1709807,Ipueiras,47772,49269,71887,20271,...,...
1710508,Itacajá,186260,155967,199694,91064,...,...
1710706,Itaguatins,82611,88499,100220,22952,...,...
1710904,Itapiratins,171522,156514,153090,117489,...,...
1711100,Itaporã do Tocantins,69980,69211,76489,37274,...,...
1711506,Jaú do Tocantins,97865,95141,110816,46737,...,...
1711803,Juarina,44395,48218,55560,15719,...,...
1711902,Lagoa da Confusão,998445,941718,1089844,507608,...,...
1711951,Lagoa do Tocantins,89429,82843,85970,42219,...,...
1712009,Lajeado,64405,95999,79405,4020,...,...
1712157,Lavandeira,37870,35046,41517,14773,...,...
1712405,Lizarda,66332,63169,78341,29042,...,...
1712454,Luzinópolis,71180,56666,58820,26177,...,...
1712504,Marianópolis do Tocantins,252331,336342,373197,159191,...,...
1712702,Mateiros,252360,320677,467179,192768,...,...
1712801,Maurilândia do Tocantins,55911,54949,63313,14513,...,...
1713205,Miracema do Tocantins,642003,716543,860438,189527,...,...
1713304,Miranorte,390325,423866,483394,111836,...,...
1713601,Monte do Carmo,296288,330390,398705,205037,...,...
1713700,Monte Santo do Tocantins,75004,74643,86604,43077,...,...
1713809,Palmeiras do Tocantins,95357,94883,108235,27401,...,...
1713957,Muricilândia,69465,70559,79966,28175,...,...
1714203,Natividade,247340,285990,352748,50943,...,...
1714302,Nazaré,58139,70455,78447,12437,...,...
1714880,Nova Olinda,320311,392347,442504,33226,...,...
1715002,Nova Rosalândia,100915,111315,110147,49602,...,...
1715101,Novo Acordo,84723,163935,176373,27014,...,...
1715150,Novo Alegre,35521,34679,38612,9297,...,...
1715259,Novo Jardim,42672,46606,49097,9617,...,...
1715507,Oliveira de Fátima,29469,34139,50178,10866,...,...
1715705,Palmeirante,185349,236267,247597,85088,...,...
1715754,Palmeirópolis,170118,195735,218426,54230,...,...
1716109,Paraíso do Tocantins,1513693,2046929,2288330,66861,...,...
1716208,Paranã,315397,329732,353206,57932,...,...
1716307,Pau D'Arco,91169,93067,110802,36196,...,...
1716505,Pedro Afonso,848671,944175,1090443,420746,...,...
1716604,Peixe,733929,942484,897174,295280,...,...
1716653,Pequizeiro,107606,136571,129256,41252,...,...
1716703,Colméia,182796,204686,228040,41567,...,...
1717008,Pindorama do Tocantins,85006,108192,110783,33421,...,...
1717206,Piraquê,89940,102183,98238,54669,...,...
1717503,Pium,361915,383001,458625,253143,...,...
1717800,Ponte Alta do Bom Jesus,66158,71275,82503,16379,...,...
1717909,Ponte Alta do Tocantins,121170,125341,141531,30046,...,...
1718006,Porto Alegre do Tocantins,47043,51166,59927,11067,...,...
1718204,Porto Nacional,3649421,3850165,3195894,504037,...,...
1718303,Praia Norte,93139,132429,114473,13436,...,...
1718402,Presidente Kennedy,65165,71876,88843,18096,...,...
1718451,Pugmil,82663,101397,127927,25069,...,...
1718501,Recursolândia,91480,164680,101805,45604,...,...
1718550,Riachinho,68536,66631,75295,19681,...,...
1718659,Rio da Conceição,29142,29758,45739,1582,...,...
1718709,Rio dos Bois,85928,94635,88775,49060,...,...
1718758,Rio Sono,111443,105483,150795,44816,...,...
1718808,Sampaio,145863,87893,70136,89575,...,...
1718840,Sandolândia,116736,119921,134402,69974,...,...
1718865,Santa Fé do Araguaia,175927,195532,202707,78913,...,...
1718881,Santa Maria do Tocantins,139630,112562,118353,94479,...,...
1718899,Santa Rita do Tocantins,180273,222463,275185,114174,...,...
1718907,Santa Rosa do Tocantins,307685,464797,419882,177193,...,...
1719004,Santa Tereza do Tocantins,48098,47244,57246,12489,...,...
1720002,Santa Terezinha do Tocantins,41931,42845,46686,13774,...,...
1720101,São Bento do Tocantins,73590,79930,90982,16584,...,...
1720150,São Félix do Tocantins,36541,33019,42355,11872,...,...
1720200,São Miguel do Tocantins,255814,233758,239634,127108,...,...
1720259,São Salvador do Tocantins,49467,49680,59857,13227,...,...
1720309,São Sebastião do Tocantins,61804,61444,68702,12540,...,...
1720499,São Valério,156734,178993,229618,87585,...,...
1720655,Silvanópolis,240329,286765,284767,116883,...,...
1720804,Sítio Novo do Tocantins,132862,160124,179637,28314,...,...
1720853,Sucupira,532374,160088,310361,494498,...,...
1720903,Taguatinga,318253,314405,386846,81241,...,...
1720937,Taipas do Tocantins,35246,35214,41627,9909,...,...
1720978,Talismã,146708,162121,173125,93130,...,...
1721000,Palmas,10333419,11951579,14168469,262385,...,...
1721109,Tocantínia,191373,159209,327560,104743,...,...
1721208,Tocantinópolis,372642,448286,529093,21117,...,...
1721257,Tupirama,118839,111988,96851,62585,...,...
1721307,Tupiratins,38619,38383,48417,8507,...,...
1722081,Wanderlândia,183424,192954,245767,45034,...,...
1722107,Xambioá,471020,598804,722713,39626,...,...
