cod_ibge,nome,ti_sf_eur,ti_stf_eru,ti_stf_mur,ti_stf_mru,ti_stf_pur,ti_stf_pru,ti_stm_eur,ti_stm_eru,ti_stm_mru,ti_stm_pur,ti_stm_pru,ti_stm_fur,ti_stm_fru
1715150,Novo Alegre,28.1,0,11,20,0,0,28.9,0,0,0,0,0,0
1715754,Palmeirópolis,29.6,0,11,12,0,0,15.9,0,0,0,0,0,0
1705557,Combinado,23.4,46,12,14,2,0,41.9,84,38,0,0,0,0
1702000,Araguaçu,28.1,27,15,0,0,0,26.9,33,0,0,0,0,0
1711506,Jaú do Tocantins,30.5,0,7,8,0,0,34.7,0,0,0,0,0,0
1720978,Talismã,30.8,35,17,21,0,0,38.8,40,0,0,0,0,0
1702406,Arraias,58.1,0,21,44,0,0,50.3,0,0,0,0,0,0
1720259,São Salvador do Tocantins,27.9,30,7,15,7,6,31.1,58,0,5,0,9,0
1700707,Alvorada,24,0,15,18,0,0,22.6,0,0,0,0,0,0
1720903,Taguatinga,17.6,0,0,0,0,0,21.5,0,0,0,0,0,0
1718840,Sandolândia,27.3,57,8,7,0,0,31.1,86,0,0,0,0,0
1716208,Paranã,18.7,48,24,24,0,0,35.7,75,0,0,0,0,0
1707652,Figueirópolis,20.3,0,18,19,0,0,30.9,0,0,0,0,0,0
1720937,Taipas do Tocantins,35.2,0,27,45,0,0,33.4,0,0,0,0,0,0
1720853,Sucupira,35.6,0,16,17,0,0,28.9,0,0,0,0,0,0
1705607,Conceição do Tocantins,30.4,0,9,0,0,0,46.7,0,0,0,0,0,0
1703867,Cariri do Tocantins,42.4,0,13,16,0,0,22.7,0,0,0,0,0,0
1708205,Formoso do Araguaia,24.7,0,9,0,0,0,39.8,0,0,0,0,0,0
1716604,Peixe,40.6,33,19,16,0,0,40.5,42,0,0,0,0,0
1709500,Gurupi,21.5,0,8,0,0,0,25.7,0,0,0,0,0,0
1718006,Porto Alegre do Tocantins,31.3,0,12,15,0,0,40.6,0,0,0,0,0,0
1720499,São Valério da Natividade,42.5,48,22,18,0,0,56.9,55,0,0,0,0,0
1705102,Chapada da Natividade,36.6,0,13,0,0,0,29.3,0,0,0,0,0,0
1714203,Natividade,27.3,34,18,20,0,0,31.1,41,0,0,0,0,0
1718907,Santa Rosa do Tocantins,38.5,42,21,12,0,0,34.3,55,0,0,0,0,0
1700350,Aliança do Tocantins,16,0,3,0,0,0,13.7,0,0,0,0,0,0
1706258,Crixás do Tocantins,25.3,0,12,0,0,0,23.9,0,0,0,0,0,0
1707306,Dueré,35.5,0,18,0,0,0,30,0,0,0,0,0,0
1700400,Almas,36.3,0,5,0,0,0,28.2,0,0,0,0,0,0
1717008,Pindorama do Tocantins,27.1,0,7,17,0,0,33.2,0,0,6,0,6,0
1709807,Ipueiras,42.6,41,14,28,0,0,48.8,83,0,0,0,0,0
1720655,Silvanópolis,24.7,22,9,5,0,0,31.7,33,0,0,0,0,0
1703701,Brejinho de Nazaré,19.1,0,19,0,0,0,22.4,0,0,0,0,0,0
1718899,Santa Rita do Tocantins,39.1,0,21,5,0,0,30.3,0,0,0,0,0,0
1707553,Fátima,26.2,0,3,11,0,0,35,0,0,0,0,0,0
1715507,Oliveira de Fátima,20.9,0,17,0,2,0,30.9,0,40,5,0,15,0
1711902,Lagoa da Confusão,20.9,21,6,5,4,0,19.7,33,0,0,0,0,0
1706100,Cristalândia,26.2,0,9,31,0,0,36.5,0,0,0,0,0,0
1715002,Nova Rosalândia,33.1,0,10,16,0,0,21.6,0,0,0,0,0,0
1717909,Ponte Alta do Tocantins,20.3,0,6,14,0,0,30.9,0,0,0,0,0,0
1718451,Pugmil,25.1,0,16,12,0,0,50.4,0,0,0,0,0,0
1713601,Monte do Carmo,31.1,0,9,18,3,0,30.1,0,0,1,0,0,0
1719004,Santa Tereza do Tocantins,25.7,0,19,21,0,0,31.1,0,0,0,0,0,0
1711951,Lagoa do Tocantins,8.7,0,6,29,0,0,26.9,0,0,0,0,0,0
1716109,Paraíso do Tocantins,28.8,0,11,0,0,0,39.2,0,0,0,0,0,0
1718204,Porto Nacional,20.3,0,6,22,4,0,25.6,0,0,0,0,0,0
1704600,Chapada de Areia,25.2,0,12,32,0,0,21.9,0,0,0,0,0,0
1721000,Palmas,30.4,30,29,25,0,0,42.9,39,0,0,0,0,0
1715101,Novo Acordo,41.1,0,14,0,0,0,44.2,0,0,0,0,0,0
1720150,São Félix do Tocantins,28,27,20,27,2,0,35.1,44,0,0,0,0,16
1713700,Monte Santo do Tocantins,28.4,0,32,30,0,0,42.3,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,32.6,37,8,29,2,0,26.7,47,0,0,0,0,0
1703107,Barrolândia,14.1,0,0,0,0,0,22.9,0,0,0,0,0,0
1712009,Lajeado,33.7,33,10,36,0,0,40.9,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,19.6,0,6,0,0,0,12,0,0,0,0,0,0
1713205,Miracema do Tocantins,20.9,20,8,17,4,0,30.9,44,0,0,0,0,0
1707108,Divinópolis do Tocantins,44.7,34,24,39,0,0,67.7,0,0,0,0,0,0
1721109,Tocantínia,30,24,0,34,0,0,50.3,34,0,0,0,0,0
1718758,Rio Sono,20.3,10,24,18,0,0,30.9,20,0,0,0,0,0
1717503,Pium,25,0,8,33,0,0,31.9,0,0,0,0,0,0
1713304,Miranorte,24.2,0,9,24,0,0,33.8,0,0,0,0,0,0
1700251,Abreulândia,20.3,0,0,0,0,0,30.9,0,0,0,0,0,0
1703909,Caseara,20.3,36,21,46,0,0,30.9,47,0,0,0,0,0
1718709,Rio dos Bois,32.8,0,8,31,0,0,34.5,0,0,0,0,0,0
1716505,Pedro Afonso,20.3,0,17,35,15,0,30.9,0,0,0,0,0,0
1708254,Tabocão,28.7,0,19,12,0,0,33.3,0,0,0,0,0,0
1712405,Lizarda,21.8,0,6,34,0,0,39.5,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,23.8,0,7,7,2,0,28.2,0,0,4,0,14,0
1703305,Bom Jesus do Tocantins,20.3,0,10,22,4,0,30.9,0,0,0,0,0,0
1704105,Centenário,24.4,0,14,32,0,0,15.3,0,0,0,0,0,0
1721257,Tupirama,33.5,0,11,24,0,0,24.8,0,0,0,0,0,0
1708304,Goianorte,23.3,0,10,27,0,0,30.9,0,0,0,0,0,0
1718881,Santa Maria do Tocantins,20.8,22,8,6,0,0,19.4,23,0,0,0,0,0
1716703,Colméia,38.2,0,14,36,0,0,37.8,0,0,0,0,0,0
1701903,Araguacema,21.7,0,14,0,8,0,28.5,0,0,0,0,0,0
1718501,Recursolândia,26.2,0,24,56,0,0,23.9,0,0,0,0,0,0
1718402,Presidente Kennedy,44.1,0,24,13,0,0,34.5,0,0,0,0,0,0
1706001,Couto de Magalhães,20.3,20,8,0,0,0,30.9,0,0,0,0,0,0
1711100,Itaporã do Tocantins,25.6,0,12,8,0,0,37.2,0,0,0,0,0,0
1710508,Itacajá,22,34,5,24,0,0,43.4,50,0,0,0,0,0
1703602,Brasilândia do Tocantins,23,0,22,23,0,0,39.2,0,0,0,0,0,0
1721307,Tupiratins,26.6,0,11,12,1,0,30.1,0,0,0,0,0,0
1716653,Pequizeiro,32.3,0,0,0,0,0,48.6,0,0,0,0,0,0
1711803,Juarina,37,0,0,26,0,0,43.1,0,0,0,0,0,0
1710904,Itapiratins,36.2,0,12,21,2,0,28.9,0,0,0,0,0,0
1703842,Campos Lindos,24.8,31,7,15,6,0,32.3,18,0,0,0,0,0
1705508,Colinas do Tocantins,0,0,24,0,0,0,28.1,0,0,0,0,0,0
1703206,Bernardo Sayão,35.5,0,14,26,0,0,30,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,17.9,0,20,17,5,0,25.6,0,0,8,0,17,0
1702307,Arapoema,33.3,0,21,0,0,0,15.6,0,0,0,0,0,0
1709005,Goiatins,31.5,0,13,26,1,0,36.3,0,0,0,0,0,0
1715705,Palmeirante,26.4,0,10,15,0,0,33.3,0,0,0,0,0,0
1714880,Nova Olinda,41.5,0,8,0,0,0,30.9,0,0,0,0,0,0
1703073,Barra do Ouro,24.2,0,14,18,0,0,29.7,0,0,0,0,0,0
1716307,Pau d'Arco,25.1,0,4,28,0,0,50.4,0,0,0,0,0,0
1707702,Filadélfia,28.9,0,13,0,0,0,31.6,0,0,0,0,0,0
1702109,Araguaína,32.3,36,9,30,0,0,48.6,44,0,0,0,0,0
1703883,Carmolândia,28.6,0,12,26,0,0,50.6,0,0,0,0,0,0
1703008,Babaçulândia,27.6,0,12,28,0,0,32.2,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,25.4,0,10,0,0,0,22.7,0,0,0,0,0,0
1713957,Muricilândia,30.7,0,11,0,0,0,32,0,0,0,0,0,0
1701309,Aragominas,43.4,35,19,15,22,0,35.4,38,0,25,0,0,0
1722081,Wanderlândia,20.3,0,25,21,0,0,30.9,0,0,0,0,0,0
1706506,Darcinópolis,46.7,0,20,21,0,0,42.5,0,0,0,0,0,0
1702158,Araguanã,27.4,0,12,0,0,0,30.7,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,14.9,0,8,0,0,0,15.9,0,0,0,0,0,0
1717206,Piraquê,28.5,0,18,0,0,0,27.8,0,0,0,0,0,0
1700301,Aguiarnópolis,28.8,0,6,0,0,5,32.7,0,0,0,15,0,0
1720002,Santa Terezinha do Tocantins,27.8,29,8,10,2,0,35.3,0,0,0,0,0,0
1718550,Riachinho,16,0,17,14,0,0,34.2,0,0,0,0,0,0
1722107,Xambioá,33,0,10,0,0,0,38.2,0,0,0,0,0,0
1701051,Angico,23.4,0,17,13,0,0,29.8,0,0,0,0,0,0
1714302,Nazaré,31.8,0,6,18,0,0,32.7,0,0,0,0,0,0
1712454,Luzinópolis,16.8,0,23,16,0,0,35.3,0,0,0,0,0,0
1721208,Tocantinópolis,33.2,0,11,8,0,0,37.6,0,0,0,0,0,0
1703826,Cachoeirinha,27.5,0,12,0,0,0,28,0,0,0,0,0,0
1701002,Ananás,0,0,18,8,0,0,31.7,0,0,0,0,0,0
1712801,Maurilândia do Tocantins,27.6,0,11,0,0,0,18.3,0,0,0,0,0,0
1720101,São Bento do Tocantins,20.8,0,18,28,0,0,36.7,0,0,0,0,0,0
1710706,Itaguatins,22.5,0,9,27,0,0,33.6,0,0,0,0,0,0
1702901,Axixá do Tocantins,32.3,23,9,34,0,0,39.2,26,0,0,0,0,27
1720804,Sítio Novo do Tocantins,0,27,8,12,4,0,28.1,0,0,7,0,12,0
1720200,São Miguel do Tocantins,21.9,0,20,15,0,0,31.2,0,0,0,0,0,0
1702554,Augustinópolis,33.3,0,22,0,0,0,36.7,0,0,0,0,0,0
1718303,Praia Norte,39.4,0,18,19,0,0,41.2,0,0,0,0,0,0
1702208,Araguatins,45,0,10,0,0,0,37.8,0,0,0,0,0,0
1703800,Buriti do Tocantins,24.6,0,16,15,0,0,32.9,0,0,0,0,0,0
1703891,Carrasco Bonito,24.3,0,10,0,0,0,30.8,0,0,0,0,0,0
1718808,Sampaio,31.2,0,6,6,0,0,37.3,0,0,0,0,0,0
1707405,Esperantina,20.3,0,12,32,0,0,30.9,0,0,0,0,0,0
1720309,São Sebastião do Tocantins,29,29,15,17,0,0,31.9,37,0,0,0,0,0
1712157,Lavandeira,37.4,0,10,22,0,0,30.7,0,0,0,0,0,0
1702703,Aurora do Tocantins,23,51,16,25,3,11,24.6,67,0,5,18,0,0
1717800,Ponte Alta do Bom Jesus,24.1,44,17,22,4,0,28.2,59,0,0,0,0,0
1715259,Novo Jardim,28.7,0,28,32,0,0,42.3,0,0,0,0,0,0
1707009,Dianópolis,37.2,0,13,26,0,0,49.3,0,0,0,0,0,0
1718659,Rio da Conceição,0,0,20,25,0,0,36.1,0,0,0,0,0,0
1712702,Mateiros,29.7,12,8,0,0,0,23.4,0,0,0,0,0,0
1709302,Guaraí,24.7,37,6,9,0,0,27.3,73,0,0,0,0,0
