cod_ibge,nome,basic_2009,ambu_2009,consu_2009,hosp_2009,poli_2009,posto_2009,apoio_2009,vigil_2009,basic_2010,ambu_2010,consu_2010,hosp_2010,poli_2010,posto_2010,apoio_2010,vigil_2010,basic_2011,ambu_2011,consu_2011,hosp_2011,poli_2011,posto_2011,apoio_2011,vigil_2011,basic_2012,ambu_2012,consu_2012,hosp_2012,poli_2012,posto_2012,apoio_2012,vigil_2012,basic_2013,ambu_2013,consu_2013,hosp_2013,poli_2013,posto_2013,apoio_2013,vigil_2013,basic_2014,ambu_2014,consu_2014,hosp_2014,poli_2014,posto_2014,apoio_2014,vigil_2014,basic_2015,ambu_2015,consu_2015,hosp_2015,poli_2015,posto_2015,apoio_2015,vigil_2015,basic_2016,ambu_2016,consu_2016,hosp_2016,poli_2016,apoio_2016,vigil_2016,basic_2017,ambu_2017,consu_2017,hosp_2017,poli_2017,posto_2017,apoio_2017,vigil_2017,basic_2018,ambu_2018,consu_2018,hosp_2018,poli_2018,posto_2018,apoio_2018,vigil_2018,basic_2019,ambu_2019,consu_2019,hosp_2019,poli_2019,posto_2019,apoio_2019,vigil_2019,posto_2016
1711951,Lagoa do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1716109,Paraíso do Tocantins,8,6,14,2,1,0,5,0,8,7,15,2,1,0,5,0,8,6,14,2,1,0,5,0,8,10,14,2,1,0,5,0,8,9,15,2,1,0,5,0,9,9,15,2,1,0,5,0,9,11,16,2,1,0,5,0,9,12,17,2,1,5,0,9,12,18,2,1,0,6,0,9,14,20,2,1,0,8,1,9,14,23,2,1,0,11,1,0
1718204,Porto Nacional,14,7,5,2,3,0,7,2,14,7,7,2,3,0,7,2,14,7,8,2,3,1,7,2,14,8,8,2,3,1,7,2,14,11,10,2,2,1,7,2,14,13,13,2,2,1,7,2,15,15,15,2,2,1,8,2,15,11,19,2,2,7,2,15,16,21,2,2,1,8,2,15,17,23,2,3,1,9,3,16,18,26,2,3,1,9,3,1
1704600,Chapada de Areia,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
1721000,Palmas,39,75,112,5,10,11,47,2,40,79,119,5,9,11,50,3,45,84,127,5,8,9,53,3,53,83,147,7,8,9,55,3,52,96,151,8,8,8,58,4,52,105,150,9,8,1,62,4,51,120,154,9,9,1,63,4,51,132,153,9,10,66,5,52,155,170,13,11,0,76,5,53,190,173,15,10,0,84,6,52,203,201,16,10,0,90,6,0
1715101,Novo Acordo,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1720150,São Félix do Tocantins,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
1713700,Monte Santo do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1701101,Aparecida do Rio Negro,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0
1703107,Barrolândia,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0
1712009,Lajeado,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1712504,Marianópolis do Tocantins,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
1713205,Miracema do Tocantins,5,2,4,1,0,0,2,0,5,2,5,1,0,0,3,0,5,2,5,1,0,0,3,0,5,2,5,1,0,0,3,0,5,2,5,1,0,0,3,0,5,2,5,1,0,0,3,0,5,1,5,1,0,0,3,0,5,1,5,1,0,4,0,8,1,5,1,0,0,4,1,8,1,5,1,0,0,4,1,8,1,6,1,0,0,4,1,0
1707108,Divinópolis do Tocantins,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,3,0,0,1,0,0,1,0,3,0,0,1,0,0,1,0,3,0,0,1,0,0,1,0,3,0,0,1,0,0,1,1,3,0,0,1,0,0,1,3,0,0,1,0,0,0,1,3,0,0,1,0,0,0,1,3,0,0,1,0,0,0,1,0
1721109,Tocantínia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
1718758,Rio Sono,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1
1717503,Pium,2,0,0,1,0,1,2,1,2,0,0,1,0,1,2,1,2,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,3,0,0,1,0,1,2,1,1
1713304,Miranorte,3,1,2,1,0,0,1,0,3,1,2,1,0,0,1,1,3,1,2,1,0,0,1,1,3,1,4,1,0,0,1,1,3,2,4,1,0,0,1,1,3,2,4,1,0,0,1,1,3,2,4,1,0,0,1,1,4,2,4,1,0,1,1,4,2,4,1,0,0,1,1,4,2,4,1,0,0,2,1,4,2,4,1,0,0,2,1,0
1700251,Abreulândia,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1703909,Caseara,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1718709,Rio dos Bois,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1716505,Pedro Afonso,2,0,0,0,0,0,2,0,2,0,1,1,0,0,2,0,2,0,1,1,0,0,1,0,2,0,1,1,0,0,1,0,2,0,1,1,1,0,1,0,2,0,1,1,1,0,1,0,2,0,1,1,1,0,1,0,2,0,2,1,1,1,0,3,0,2,1,1,0,2,1,3,0,2,1,1,0,3,1,4,0,2,1,1,0,2,1,0
1708254,Tabocão,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1712405,Lizarda,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1707207,Dois Irmãos do Tocantins,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1703305,Bom Jesus do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0
1704105,Centenário,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1721257,Tupirama,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1708304,Goianorte,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0
1718881,Santa Maria do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1716703,Colméia,3,3,0,1,0,0,0,1,3,3,0,1,0,0,0,1,3,1,0,1,0,0,2,1,3,1,0,1,0,0,2,1,3,1,0,1,0,0,2,1,3,1,0,1,0,0,2,1,3,1,0,1,0,0,3,1,3,1,0,1,0,3,1,4,1,0,1,0,0,3,1,4,1,0,1,0,0,2,1,4,1,0,1,0,0,1,1,0
1701903,Araguacema,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,2,0,0,1,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0
1718501,Recursolândia,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1718402,Presidente Kennedy,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1706001,Couto de Magalhães,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,0
1711100,Itaporã do Tocantins,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1710508,Itacajá,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,1,1,1,0,0,1,2,1,1,1,0,0,0,1,2,1,1,1,0,0,0,1,2,1,1,1,0,0,0,1,0
1703602,Brasilândia do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1721307,Tupiratins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1716653,Pequizeiro,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0
1711803,Juarina,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1710904,Itapiratins,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1703842,Campos Lindos,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1705508,Colinas do Tocantins,9,2,3,2,0,0,5,1,9,2,3,2,0,0,4,1,9,2,4,2,0,0,5,1,9,2,7,2,0,0,4,1,9,2,8,2,0,0,6,1,9,3,8,2,0,0,7,1,9,3,10,2,0,0,7,1,9,3,14,2,0,7,1,9,6,12,1,0,0,7,1,11,9,9,1,0,0,8,1,12,10,9,1,0,0,8,1,0
1703206,Bernardo Sayão,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1703057,Bandeirantes do Tocantins,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1702307,Arapoema,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0
