cod_ibge,nome,m_inf_2008,m_inf_2009,m_inf_2010,m_inf_2011,m_inf_2012,m_inf_2013,m_inf_2014,m_inf_2015
1715150,Novo Alegre,38.46,0,0,0,0,0,52.6,0
1715754,Palmeirópolis,6.17,10,18,14,0,32,13.9,26
1705557,Combinado,21.51,14,0,0,0,0,0,25
1702000,Araguaçu,8.55,8,28,0,0,20,0,10
1711506,Jaú do Tocantins,16.39,51,0,0,32,0,0,21
1720978,Talismã,0,38,0,0,0,71,41.7,0
1702406,Arraias,20.51,5,55,5,17,11,17.9,11
1720259,São Salvador do Tocantins,0,0,0,0,0,36,27.8,0
1700707,Alvorada,19.05,8,38,8,53,20,8,33
1720903,Taguatinga,14.87,9,26,5,19,5,15,5
1718840,Sandolândia,0,86,0,0,23,77,18.9,0
1716208,Paranã,8.97,12,12,35,19,15,14.4,6
1707652,Figueirópolis,11.76,14,0,0,73,42,76.9,27
1720937,Taipas do Tocantins,25,49,37,25,34,0,0,0
1720853,Sucupira,35.71,36,0,0,0,0,0,42
1705607,Conceição do Tocantins,14.08,14,20,0,48,14,63.5,42
1703867,Cariri do Tocantins,21.28,0,0,0,0,0,0,0
1708205,Formoso do Araguaia,10.61,29,16,23,10,23,16.7,23
1716604,Peixe,11.49,20,12,13,26,8,7.8,16
1709500,Gurupi,18.46,13,14,13,17,12,11.6,10
1718006,Porto Alegre do Tocantins,16.67,0,23,0,23,0,0,0
1720499,São Valério da Natividade,27.4,12,72,0,38,29,17.2,17
1705102,Chapada da Natividade,0,0,16,56,23,40,0,46
1714203,Natividade,23.67,53,19,24,30,27,19,39
1718907,Santa Rosa do Tocantins,10.31,12,32,0,0,0,13.7,24
1700350,Aliança do Tocantins,10.1,12,0,21,34,0,12.8,14
1706258,Crixás do Tocantins,0,0,0,0,0,0,47.6,0
1707306,Dueré,0,26,44,14,0,0,0,0
1700400,Almas,0,61,6,27,15,16,15.6,46
1717008,Pindorama do Tocantins,0,0,0,14,14,0,0,15
1709807,Ipueiras,0,0,27,0,0,0,0,0
1720655,Silvanópolis,21.28,17,11,10,11,0,10.6,22
1703701,Brejinho de Nazaré,31.25,25,22,21,23,11,0,0
1718899,Santa Rita do Tocantins,0,0,0,45,31,0,0,34
1707553,Fátima,16.67,0,42,18,0,0,0,0
1715507,Oliveira de Fátima,38.46,45,62,56,0,0,47.6,0
1711902,Lagoa da Confusão,22.73,34,6,18,31,19,46.5,13
1706100,Cristalândia,20,18,17,10,11,23,9.8,0
1715002,Nova Rosalândia,0,17,24,0,0,54,29.4,0
1717909,Ponte Alta do Tocantins,30.77,33,15,29,0,0,8.2,9
1718451,Pugmil,30.3,0,0,28,25,32,0,0
1713601,Monte do Carmo,18.35,0,19,49,16,19,12,21
1719004,Santa Tereza do Tocantins,37.74,0,0,0,43,0,0,43
1711951,Lagoa do Tocantins,0,0,14,14,0,0,0,0
1716109,Paraíso do Tocantins,15.94,8,5,18,14,8,5.9,17
1718204,Porto Nacional,17.42,18,21,9,12,7,11.6,9
1704600,Chapada de Areia,58.82,0,0,40,0,0,0,0
1721000,Palmas,14.66,14,11,14,9,10,9.5,12
1715101,Novo Acordo,14.08,12,0,16,13,13,15.9,27
1720150,São Félix do Tocantins,34.48,0,0,54,0,38,0,59
1713700,Monte Santo do Tocantins,0,0,0,0,42,0,0,0
1701101,Aparecida do Rio Negro,11.76,14,26,0,12,0,0,12
1703107,Barrolândia,35.4,0,30,46,12,0,12,0
1712009,Lajeado,0,0,22,19,17,42,34.5,19
1712504,Marianópolis do Tocantins,0,40,17,0,35,21,0,57
1713205,Miracema do Tocantins,4.78,10,13,9,6,3,16.4,14
1707108,Divinópolis do Tocantins,0,37,19,17,9,0,10.2,10
1721109,Tocantínia,21.39,29,13,37,16,29,33.7,19
1718758,Rio Sono,0,0,0,0,0,30,0,98
1717503,Pium,38.46,11,36,10,19,12,10.1,0
1713304,Miranorte,8.51,17,16,37,19,11,28.7,30
1700251,Abreulândia,47.62,29,0,0,0,27,0,0
1703909,Caseara,0,14,12,13,0,68,15.4,14
1718709,Rio dos Bois,40,25,0,29,0,32,22.7,40
1716505,Pedro Afonso,9.09,9,14,12,20,15,19.3,7
1708254,Tabocão,35.71,23,27,38,0,48,18.2,0
1712405,Lizarda,19.23,0,36,22,26,25,21.3,25
1707207,Dois Irmãos do Tocantins,24.1,13,0,0,0,18,0,56
1703305,Bom Jesus do Tocantins,12.99,15,0,39,12,38,13,14
1704105,Centenário,30.3,47,62,62,87,0,33.3,0
1721257,Tupirama,0,33,217,77,0,42,43.5,0
1708304,Goianorte,13.51,54,0,41,20,0,19.6,0
1718881,Santa Maria do Tocantins,18.52,18,0,0,18,0,0,28
1716703,Colméia,20.27,18,8,17,16,7,7.6,9
1701903,Araguacema,19.8,48,19,9,39,0,14.7,24
1718501,Recursolândia,21.98,0,42,38,38,14,17.5,29
1718402,Presidente Kennedy,18.87,62,20,21,0,43,19.2,20
1706001,Couto de Magalhães,15.63,14,57,0,12,24,0,13
1711100,Itaporã do Tocantins,0,0,0,0,30,0,0,0
1710508,Itacajá,17.05,41,35,18,55,21,26.7,6
1703602,Brasilândia do Tocantins,0,0,30,31,0,48,0,0
1721307,Tupiratins,0,0,37,0,0,0,0,0
1716653,Pequizeiro,0,0,14,0,43,20,26,16
1711803,Juarina,34.48,24,31,30,0,50,0,0
1710904,Itapiratins,41.67,0,0,24,0,34,0,0
1703842,Campos Lindos,6.45,45,22,32,24,20,18.1,25
1705508,Colinas do Tocantins,17.19,24,17,9,22,19,12.4,10
1703206,Bernardo Sayão,14.71,41,0,33,33,33,16.7,19
1703057,Bandeirantes do Tocantins,21.74,0,24,48,22,0,0,22
1702307,Arapoema,15.04,29,29,30,0,10,0,10
1709005,Goiatins,11.36,24,34,53,23,35,18.5,20
1715705,Palmeirante,0,11,0,13,29,57,0,0
1714880,Nova Olinda,28.71,14,21,8,11,6,5.1,9
1703073,Barra do Ouro,24.39,13,13,15,0,0,0,12
1716307,Pau d'Arco,12.66,30,0,0,0,0,0,0
1707702,Filadélfia,36.23,30,21,39,37,25,25.6,28
1702109,Araguaína,17.27,15,12,15,11,15,14.7,11
1703883,Carmolândia,24.39,0,32,0,62,0,0,0
1703008,Babaçulândia,7.19,22,15,8,0,18,18.2,30
1718865,Santa Fé do Araguaia,6.49,14,33,22,0,14,8.8,23
1713957,Muricilândia,13.16,15,34,0,0,20,0,65
1701309,Aragominas,11.49,11,14,25,11,0,0,0
1722081,Wanderlândia,23.53,6,14,0,22,7,6.6,0
1706506,Darcinópolis,9.09,33,22,10,22,21,9.4,9
1702158,Araguanã,9.8,0,0,31,11,28,24.7,11
1713809,Palmeiras do Tocantins,0,13,12,0,0,14,14.9,0
1717206,Piraquê,22.73,0,0,59,25,48,0,0
1700301,Aguiarnópolis,41.1,44,9,12,48,12,0,13
1720002,Santa Terezinha do Tocantins,0,0,27,0,0,30,0,29
1718550,Riachinho,0,12,16,0,0,32,0,0
1722107,Xambioá,6.25,17,25,8,4,13,3.9,8
1701051,Angico,0,0,0,19,43,0,25,0
1714302,Nazaré,0,0,0,66,16,34,0,0
1712454,Luzinópolis,34.48,37,17,0,0,23,0,0
1721208,Tocantinópolis,18.52,20,35,27,17,13,10.5,10
1703826,Cachoeirinha,0,28,0,0,37,0,0,0
1701002,Ananás,13.27,18,17,6,32,30,6.1,17
1712801,Maurilândia do Tocantins,29.41,20,0,0,40,0,78.9,0
1720101,São Bento do Tocantins,43.96,0,13,13,0,0,12,0
1710706,Itaguatins,18.35,11,0,36,23,10,12.7,29
1702901,Axixá do Tocantins,23.08,22,9,31,14,10,16,21
1720804,Sítio Novo do Tocantins,21.86,19,13,14,15,0,12.1,14
1720200,São Miguel do Tocantins,16.81,0,14,13,15,22,29.9,12
1702554,Augustinópolis,18.47,20,16,10,8,12,11.9,15
1718303,Praia Norte,0,0,7,16,14,0,16.7,15
1702208,Araguatins,11.11,20,21,22,14,18,6.2,13
1703800,Buriti do Tocantins,0,12,11,11,6,0,0,6
1703891,Carrasco Bonito,19.8,34,44,0,26,0,0,21
1718808,Sampaio,11.76,25,19,0,0,0,11.2,23
1707405,Esperantina,8.58,26,11,6,23,14,29,24
1720309,São Sebastião do Tocantins,21.74,0,41,0,0,12,0,0
1712157,Lavandeira,0,0,0,0,40,0,0,36
1702703,Aurora do Tocantins,0,0,32,20,47,59,31.3,33
1717800,Ponte Alta do Bom Jesus,0,0,42,16,0,18,18.5,0
1715259,Novo Jardim,0,58,43,0,0,29,30.3,0
1707009,Dianópolis,18.18,18,28,26,17,18,15.7,9
1718659,Rio da Conceição,0,0,65,32,0,0,0,0
1712702,Mateiros,19.61,18,0,20,0,0,71.4,0
1709302,Guaraí,20.13,7,21,2,11,3,31.3,5
